"","Date","Item","Category","Rebecca","Justin","Robert"
"113",2018-04-05,"Locked up dinner","Food",2114,4407,2114
"114",2018-04-05,"don quijote","Merchandise",0,4082,0
"115",2018-04-05,"Daiso","Merchandise",216,108,648
"116",2018-04-05,"100yen","Merchandise",0,21775,138
"117",2018-04-05,"Book off","Merchandise",0,350,1000
"118",2018-04-05,"Combini","Food",428,0,0
"119",2018-04-06,"Baggage to airport ","Transport",2686,0,2686
"120",2018-04-06,"Tsukemen","Food",630,1160,730
"121",2018-04-06,"Narita express ","Transport",0,3120,0
"122",2018-04-06,"Tokyo station sticker ","Transport",250,0,250
"123",2018-04-06,"Doraemon sticker ","Merchandise",200,0,200
"124",2018-04-06,"Doraemon restaurant ","Food",1175,0,1175
"125",2018-04-06,"Yokohama hotel ","Hotel",4568,0,4568
"126",2018-04-06,"Gusto ","Food",1402,0,917
"127",2018-04-06,"Waffle","Food",100,0,100
"128",2018-04-07,"Kimono","Attraction",11610,0,11610
"129",2018-04-07,"Ekiben","Food",400,0,911
"130",2018-04-07,"Photo snack ","Food",725,0,725
"131",2018-04-07,"Comicap","Hotel",8082,0,8082
"132",2018-04-07,"Mcdonalds","Food",195,0,195
"133",2018-04-07,"Matcha dango","Food",150,0,150
"134",2018-04-07,"pokemon kyoto","Merchandise",0,0,0
"135",2018-04-07,"Gogyo Ramen","Food",2144,0,2144
"136",2018-04-08,"Omlette bacon burger ","Food",150,0,150
"137",2018-04-08,"Japanese pancake","Food",125,0,125
"138",2018-04-08,"Soybean milk croquette","Food",100,0,100
"139",2018-04-08,"Honey ","Merchandise",2500,0,2500
"140",2018-04-08,"Green tea ","Food",648,0,648
"141",2018-04-08,"Daifuku","Food",150,0,150
"142",2018-04-08,"Can do","Merchandise",324,0,0
"143",2018-04-08,"Pasmo","Transport",1000,0,1000
"144",2018-04-08,"Don quiote","Merchandise",437,0,437
"145",2018-04-08,"Kaitensushi","Food",810,0,810
"146",2018-04-08,"Train bread","Food",215,0,215
"147",2018-04-08,"Dormy inn","Hotel",5148,0,5148
"148",2018-04-09,"Kushikatsu ","Food",430,0,430
"149",2018-04-09,"Icoca","Transport",0,0,2000
"150",2018-04-09,"Combini","Food",100,0,100
"151",2018-04-09,"Universal studio tickets","Merchandise",7900,0,7900
"152",2018-04-09,"Hp lunch","Food",1750,0,1750
"153",2018-04-09,"Butter beer ","Food",300,0,300
"154",2018-04-09,"Penny","Coins",200,0,0
"155",2018-04-09,"Coke","Food",0,0,180
"156",2018-04-09,"Popcorn","Food",440,0,440
"157",2018-04-09,"Saizeriya","Food",818,0,818
"158",2018-04-10,"Spaworld ","Attraction",1200,0,1200
"159",2018-04-10,"Spaworld food","Food",1380,0,1380
"160",2018-04-10,"Street mkt food","Food",550,0,550
"161",2018-04-10,"Melon pan ice cream","Food",350,0,350
"162",2018-04-10,"Fruit drink","Food",215,0,215
"163",2018-04-10,"Scallop","Food",500,0,0
"164",2018-04-10,"Waffle","Food",125,0,125
"165",2018-04-10,"Meat ","Food",1430,0,1430
"166",2018-04-11,"Combini breakfast","Food",225,0,225
"167",2018-04-11,"Subway bread","Food",600,0,0
"168",2018-04-11,"Ramen","Food",200,0,30
"169",2018-04-11,"Aqua tickets ","Attraction",2300,0,2300
"170",2018-04-11,"Aqua merchandise","Merchandise",0,0,0
"171",2018-04-11,"Aqua coins","Coins",700,0,0
"172",2018-04-11,"Aqua ice cream ","Food",400,0,0
"173",2018-04-11,"Subway reload","Transport",1000,0,1000
"174",2018-04-11,"Fries ","Food",0,0,450
"175",2018-04-11,"Popcorn ","Food",380,0,600
"176",2018-04-11,"Fanta drink","Food",0,0,100
"177",2018-04-11,"Zauo dinner","Food",1701,0,1701
"178",2018-04-11,"Gyoza","Food",320,0,320
"179",2018-04-11,"Popsicle","Food",0,0,140
"180",2018-04-11,"Combini","Food",432,0,0
"181",2018-04-12,"Vending machine ","Food",80,0,50
"182",2018-04-12,"Tonkotsu ","Food",1132,0,1132
"183",2018-04-12,"Gatsby","Merchandise",0,0,1014
"184",2018-04-12,"Uniqlo","Merchandise",4980,0,5170
"185",2018-04-12,"Don quixote","Merchandise",5804,0,2620
"186",2018-04-12,"Crab","Food",2950,0,2950
"187",2018-04-12,"Pasmo load ","Transport",1000,0,1000
"188",2018-04-12,"Washington hotel ","Hotel",8000,0,8000
"189",2018-04-12,"Pancakes ","Food",200,0,200
"190",2018-04-12,"Trial ","Merchandise",3090,0,3090
"191",2018-04-12,"Mcdonalds ","Food",0,0,640
"192",2018-04-12,"Combini ","Merchandise",250,0,0
"193",2018-04-12,"Souvenirs ","Souvenir",0,0,1500
"194",2018-04-12,"Uniqlo","Merchandise",0,0,2580
